"Project","MethodIndex","Method","Count","Tests"
"junit4","11","org.junit.runners.ParentRunner.validateClassRules(List<Throwable>)","5","org.junit.tests.experimental.theories.runner.UnsuccessfulWithDataPointFields.canRunTheories [],org.junit.AssumptionViolatedExceptionTest.unserializableValueAndMatcherCanBeSerialized [],org.junit.runner.JUnitCommandLineParseResultTest.shouldStopParsingOptionsUponNonOption [],org.junit.AssumptionViolatedExceptionTest.canSetCauseWithInstanceCreatedWithAssumptionObjectAndMatcher []"
"junit4","12","org.junit.internal.TextListener.elapsedTimeAsString(long)","5","org.junit.tests.experimental.theories.runner.UnsuccessfulWithDataPointFields.canRunTheories [],org.junit.tests.listening.TextListenerTest.testSuccess [],org.junit.tests.experimental.results.PrintableResultTest.backTraceHasGoodToString [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariablesAbound [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnParameterizedTheoryParm []"
"junit4","13","org.junit.internal.MethodSorter.getDeclaredMethods(Class<?>)","4","junit.tests.framework.FloatAssertTest.testAssertPosInfinityNotEquals [],org.junit.rules.StopwatchTest.runtimeAfterTestShouldReturnRunDuration [],org.junit.tests.assertion.AssertionTest.assertNotEqualsConsidersFloatDeltaCorrectly [],org.junit.tests.manipulation.OrderWithTest$TestClassRunnerIsOrderableViaOrderWith.orderingBackwardWorksOnTestClassRunner []"
"junit4","14","org.junit.runner.notification.RunNotifier.fireTestRunStarted(Description)","4","junit.tests.framework.ComparisonCompactorTest.testComparisonErrorWithActualNullContext [],org.junit.rules.ClassRulesTest.ruleIsIntroducedAndEvaluatedOnSubclass [],org.junit.tests.running.methods.TestMethodTest.testFailures [],org.junit.tests.assertion.AssertionTest.arraysDifferAtElement1withMessage []"
"junit4","15","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder()","4","org.junit.tests.experimental.theories.internal.SpecificDataPointsSupplierTest.shouldReturnOnlyTheNamedMethodDataPoints [],org.junit.tests.assertion.AssertionTest.assertThrowsDetectsTypeMismatchesViaExplicitTypeHint [],org.junit.runner.notification.RunNotifierTest.wrapIfNotThreadSafeShouldNotWrapThreadSafeListeners [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariablesAbound []"
"junit4","16","org.junit.internal.builders.JUnit3Builder.isPre4Test(Class<?>)","3","org.junit.tests.assertion.MultipleFailureExceptionTest.assertEmptyRethrowsSingleRuntimeException [],org.junit.runner.notification.SynchronizedRunListenerTest.equalsDelegates [],org.junit.rules.TestRuleTest.ruleIsIntroducedAndEvaluatedOnSubclass []"
"junit4","17","org.junit.runners.model.TestClass.scanAnnotatedMembers(Map<Class<?extendsAnnotation>,List<FrameworkMethod>>,Map<Class<?extendsAnnotation>,List<FrameworkField>>)","3","org.junit.tests.experimental.MatcherTest.differentMatchersHaveDifferentDescriptions [],org.junit.runner.notification.RunNotifierTest.hasNoProblemsWithFailingListeners [],org.junit.samples.ListTest.contains []"
"junit4","18","org.junit.rules.ExpectedException.expect(Class<?extendsThrowable>)","3","org.junit.runners.model.FrameworkFieldTest.cannotBeCreatedWithoutUnderlyingField [],org.junit.rules.TemporaryFolderUsageTest.newFolderWithGivenFolderThrowsIOExceptionIfFolderExists [],org.junit.rules.TemporaryFolderUsageTest.newFileWithGivenFilenameThrowsIOExceptionIfFileExists []"
"junit4","19","org.junit.runners.model.TestClass.runsTopToBottom(Class<?extendsAnnotation>)","3","org.junit.samples.money.MoneyTest.testBagSubtract [],org.junit.tests.assertion.AssertionTest.stringsNotEqual [],org.junit.tests.experimental.theories.runner.WithDataPointMethod.pickUpDataPointMethods []"
"junit4","20","junit.framework.TestCase.runBare()","3","junit.tests.extensions.ActiveTestTest.testActiveRepeatedTest []"
"junit4","21","org.junit.runners.model.RunnerBuilder.addParent(Class<?>)","3","org.junit.experimental.categories.MultiCategoryTest.inheritanceAnyIncluded [],org.junit.samples.money.MoneyTest.testMoneyEquals [],org.junit.rules.MethodRulesTest.ruleIsIntroducedAndEvaluated []"
"junit4","22","org.junit.runners.model.TestClass.getOnlyConstructor()","3","org.junit.runner.JUnitCoreTest.shouldAddFailuresToResult [],org.junit.experimental.categories.CategoryValidatorTest.errorIsNotAddedWhenCategoryIsNotCombinedWithIllegalCombination [],org.junit.tests.running.classes.parent.ParentRunnerClassLoaderTest.testDescriptionContainCorrectTestClass []"
"junit4","23","org.junit.runners.ParentRunner.createTestClass(Class<?>)","3","junit.tests.framework.TestImplementorTest.testSuccessfulRun [],junit.tests.framework.AssertTest.testAssertTrue [],junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithoutMessage []"
"junit4","24","org.junit.runners.model.FrameworkMember.handlePossibleBridgeMethod(List<T>)","3","org.junit.tests.assertion.AssertionTest.arraysDeclaredAsObjectAreComparedAsObjects [],org.junit.tests.assertion.AssertionTest.bytesNotEqual [],org.junit.tests.assertion.AssertionTest.notEqualsObjectWithNull []"
"junit4","25","org.junit.runners.ParentRunner.collectInitializationErrors(List<Throwable>)","3","junit.tests.runner.ResultTest.testRunFailureResultCanBeReserialised_v4_12 [],org.junit.rules.ClassRulesTest.ruleIsIntroducedAndEvaluatedOnSubclass [],org.junit.samples.money.MoneyTest.testBagNotEquals []"
"junit4","26","org.junit.runners.model.FrameworkMethod.invokeExplosively(Object,Object...)","2","org.junit.runner.JUnitCommandLineParseResultTest.shouldParseFilterArgInWhichValueIsASeparateArg [],org.junit.tests.experimental.max.DescriptionTest.parseClass_whenCantParse []"
"junit4","27","junit.textui.ResultPrinter.elapsedTimeAsString(long)","2","junit.tests.runner.TextRunnerTest.testRunReturnsResult [],junit.tests.runner.TextRunnerTest.testFailure []"
"junit4","28","org.junit.runners.BlockJUnit4ClassRunner.getTestRules(Object)","2","org.junit.rules.TempFolderRuleTest.randomFilesAreDeleted [],org.junit.tests.assertion.AssertionTest.arraysDeclaredAsObjectAreComparedAsObjects []"
"junit4","29","org.junit.runners.BlockJUnit4ClassRunner.validateInstanceMethods(List<Throwable>)","2","org.junit.runners.model.FrameworkMethodTest.cannotBeCreatedWithoutUnderlyingField [],org.junit.rules.BlockJUnit4ClassRunnerOverrideTest.overrideCreateTestMethod []"
"junit4","30","junit.framework.TestSuite.addTestsFromTestCase(Class<?>)","2","org.junit.tests.running.methods.AnnotationTest.testOneTimeSetup [],junit.tests.runner.TextFeedbackTest.testFailure []"
"junit4","31","org.junit.internal.runners.JUnit38ClassRunner.filter(Filter)","2","junit.tests.framework.ComparisonCompactorTest.testComparisonErrorWithExpectedNullContext [],junit.tests.framework.TestCaseTest.testExceptionRunningAndTearDown []"
"junit4","32","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder()","2","junit.tests.framework.TestCaseTest.testTearDownFails [],org.junit.tests.assertion.MultipleFailureExceptionTest.assertEmptyRethrowsSingleError []"
"junit4","33","org.junit.runners.model.RunnerBuilder.configureRunner(Runner)","2","org.junit.experimental.categories.CategoryValidatorTest.errorIsAddedWhenCategoryIsUsedWithAfterClass [],org.junit.experimental.categories.CategoryTest.sameAsNoIncludeCategoryAnnotation []"
"junit4","34","org.junit.runner.notification.RunNotifier.fireTestFinished(Description)","2","org.junit.runner.FilterFactoriesTest.shouldThrowExceptionIfNotInstantiable [],org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testToStringSuite []"
"junit4","35","org.junit.runners.model.RunnerBuilder.removeParent(Class<?>)","2","org.junit.tests.experimental.AssumptionTest.failingAssumptionInBeforePreventsTestRun [],org.junit.tests.running.classes.ParentRunnerFilteringTest.testRunSuiteFiltering []"
"junit4","36","org.junit.runners.ParentRunner.getDescription()","2","org.junit.tests.assertion.AssertionTest.shortsNotEqual [],org.junit.internal.StackTracesTest.getTrimmedStackForJUnit4TestFailingInClassRule []"
"junit4","37","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder()","2","org.junit.tests.running.core.JUnitCoreReturnsCorrectExitCodeTest.successCausesExitCodeOf0 [],org.junit.tests.experimental.AssumptionTest.assumeNotNullThrowsException []"
"junit4","38","org.junit.runner.Request.classes(Computer,Class<?>...)","2","org.junit.runner.FilterOptionIntegrationTest.shouldIncludeSomeTests [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnTheTheory []"
"junit4","39","org.junit.runner.Description.formatDisplayName(String,String)","2","org.junit.tests.running.classes.ParentRunnerTest.parentRunnerTestMethods [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.ShouldRejectTheoriesWithOnlyDisallowedNullData []"
